두산, 0.327, 0.298, 0.378, 0.473, 0.851, 0.373, 30.08
NC, 0.333, 0.291, 0.375, 0.450, 0.825, 0.365, 25.33
삼성, 0.326, 0.293, 0.367, 0.439, 0.806, 0.357, 20.43
넥센, 0.336, 0.293, 0.368, 0.440, 0.808, 0.358, 19.05
KIA, 0.325, 0.286, 0.358, 0.452, 0.810, 0.356, 18.82
롯데, 0.340, 0.288, 0.370, 0.422, 0.792, 0.354, 18.37
SK, 0.331, 0.291, 0.356, 0.454, 0.810, 0.355, 17.39
한화, 0.336, 0.289, 0.362, 0.430, 0.792, 0.351, 16.80
LG, 0.336, 0.290, 0.361, 0.417, 0.778, 0.348, 13.53
kt, 0.317, 0.276, 0.345, 0.394, 0.739, 0.331, 4.20
